1,37,13,0,0,60,2
2,50,12,0,0,40,1
3,38,13,0,0,50,1
4,45,13,0,0,55,1
5,25,6,0,0,40,1
6,31,10,0,0,40,1
7,90,9,0,2206,40,1
8,54,9,0,0,20,1
9,53,1,0,0,35,1
10,18,9,0,0,40,1
11,66,9,1409,0,50,1
12,75,11,0,0,20,1
13,65,9,0,0,40,1
14,35,7,3674,0,40,1
15,41,9,0,0,38,1
16,25,10,0,0,42,1
17,33,10,0,0,40,1
18,28,15,0,0,55,2
19,59,9,0,0,40,1
20,40,10,0,0,38,1
21,41,13,0,0,50,2
22,38,14,0,0,70,2
23,23,9,0,0,40,1
24,40,13,0,0,40,2
25,41,9,0,0,20,1
26,24,12,0,0,50,1
27,38,10,0,1741,40,1
28,58,9,0,0,45,2
29,32,9,0,0,34,1
30,40,12,0,1977,60,2
31,41,15,0,0,40,2
32,42,13,0,0,40,1
33,59,6,0,0,30,1
34,19,10,0,0,40,1
35,58,10,0,0,20,1
36,42,9,0,0,40,2
37,20,9,0,0,40,1
38,32,9,0,0,30,1
39,45,11,0,0,45,1
40,50,4,0,0,40,1
41,36,13,0,0,40,1
42,45,9,0,0,60,1
43,17,7,0,0,12,1
44,59,10,4064,0,40,1
45,26,7,0,0,40,1
46,37,10,0,0,75,2
47,64,9,0,0,40,2
48,33,13,0,0,45,1
49,33,9,0,0,40,2
50,61,9,0,0,40,2
51,17,5,1055,0,24,1
52,50,14,2407,0,98,1
53,27,14,0,0,35,1
54,30,9,0,0,40,1
55,43,9,0,0,40,1
56,44,10,7298,0,40,2
57,35,10,0,0,40,1
58,25,10,0,0,40,1
59,24,10,7298,0,48,2
60,22,13,0,0,15,1
61,42,10,5178,0,40,2
62,34,12,0,0,45,1
63,60,13,0,0,42,1
64,21,9,0,0,40,1
65,57,14,15024,0,40,2
66,41,15,0,0,60,2
67,50,10,0,0,45,1
68,25,13,0,0,40,1
69,50,4,0,0,40,1
70,36,13,0,0,45,1
71,31,9,0,0,40,1
72,29,13,0,0,56,1
73,21,10,0,0,45,1
74,27,13,0,0,40,1
75,65,9,0,0,16,1
76,37,13,0,0,60,1
77,24,9,0,0,40,1
78,38,9,0,0,80,1
79,48,13,7688,0,40,2
80,21,10,0,0,25,1
81,31,9,0,0,45,2
82,55,9,4386,0,40,2
83,24,10,0,0,40,1
84,43,9,0,0,40,1
85,26,12,0,0,45,1
86,46,12,0,0,33,1
87,35,12,0,0,40,2
88,41,10,0,0,54,2
89,26,13,0,0,40,1
90,34,14,7298,0,35,2
91,36,13,0,0,40,2
92,22,10,0,0,15,1
93,24,10,0,0,40,1
94,77,10,0,0,40,1
95,22,3,0,0,40,1
96,29,10,0,0,40,1
97,62,9,0,0,24,1
98,39,9,0,0,40,1
99,43,10,0,1485,50,1
100,35,9,0,0,45,1
101,29,7,0,0,40,1
102,76,14,0,0,10,1
103,63,9,0,0,45,1
104,43,10,0,1887,50,2
105,58,9,0,0,40,1
106,66,9,2050,0,55,1
107,41,10,0,0,45,1
108,26,13,0,0,40,1
109,47,11,0,0,40,1
110,55,6,0,0,40,1
111,53,9,0,0,40,1
112,17,3,0,0,48,1
113,30,9,0,0,40,1
114,49,14,0,0,60,1
115,19,9,0,0,30,1
116,45,9,0,0,40,1
117,26,12,0,0,40,1
118,38,11,7298,0,40,2
119,36,9,7298,0,40,2
120,33,9,0,0,20,1
121,22,10,0,0,40,1
122,43,13,0,0,42,1
123,56,12,0,0,25,1
124,31,13,0,0,25,1
125,33,13,0,0,40,2
126,26,9,0,0,40,1
127,33,13,0,0,40,2
128,46,7,0,0,30,1
129,38,9,0,0,40,2
130,65,7,0,0,40,1
131,40,11,0,0,40,2
132,42,9,0,0,35,1
133,26,5,0,0,40,1
134,36,6,0,0,24,1
135,62,14,0,0,40,2
136,43,13,0,0,45,1
137,43,13,0,1564,45,2
138,22,9,0,0,55,1
139,28,9,0,0,40,1
140,56,10,0,0,45,1
141,22,12,0,0,15,1
142,57,13,0,0,45,2
143,39,9,0,0,40,1
144,26,10,0,0,15,1
145,17,7,0,0,10,1
146,40,11,0,0,38,2
147,45,9,0,0,40,1
148,44,9,0,0,40,1
149,20,10,0,0,10,1
150,33,9,0,0,40,1
151,23,10,0,0,40,1
152,46,14,0,0,30,1
153,38,9,0,0,50,1
154,54,9,0,0,40,1
155,46,3,0,2339,45,1
156,25,10,0,0,40,1
157,46,10,0,0,40,1
158,36,10,0,0,40,1
159,23,9,0,0,25,1
160,29,9,0,0,40,1
161,44,10,0,2415,6,2
162,19,10,0,0,16,1
163,19,9,0,0,40,1
164,35,9,0,0,40,2
165,27,13,0,0,50,1
166,46,12,0,0,40,1
167,34,9,0,0,35,1
168,44,10,0,0,40,1
169,45,10,0,0,40,1
170,25,13,0,0,55,2
171,52,13,0,0,50,2
172,20,10,0,0,40,1
173,28,10,0,0,40,1
174,50,13,0,0,40,2
175,34,11,0,0,64,1
176,28,4,0,2179,40,1
177,41,14,0,1977,65,2
178,28,9,0,0,40,1
179,46,9,0,0,25,1
180,32,10,0,0,50,1
181,41,10,0,0,24,1
182,24,9,0,0,40,1
183,33,10,0,0,40,1
184,46,16,15024,0,60,2
185,31,10,0,0,40,1
186,35,8,0,0,50,2
187,52,2,0,0,40,1
188,30,7,0,0,19,1
189,34,7,0,0,40,1
190,34,9,0,0,40,1
191,20,10,0,0,30,1
192,17,7,2176,0,18,1
193,32,13,0,0,40,2
194,29,9,0,0,40,1
195,33,6,0,0,35,1
196,25,9,0,0,60,1
197,36,14,0,1408,40,1
198,23,9,0,0,72,1
199,63,9,0,0,40,2
200,47,14,0,0,40,1
